Country,Confederation,Qualification_Status,Group
United States,CONCACAF,Host,D
Canada,CONCACAF,Host,B
Mexico,CONCACAF,Host,A
Argentina,CONMEBOL,Qualified,J
Brazil,CONMEBOL,Qualified,C
Uruguay,CONMEBOL,Qualified,H
Colombia,CONMEBOL,Qualified,K
Ecuador,CONMEBOL,Qualified,E
Paraguay,CONMEBOL,Qualified,D
Spain,UEFA,Qualified,H
England,UEFA,Qualified,L
France,UEFA,Qualified,I
Germany,UEFA,Qualified,E
Portugal,UEFA,Qualified,K
Netherlands,UEFA,Qualified,F
Belgium,UEFA,Qualified,G
Switzerland,UEFA,Qualified,B
Croatia,UEFA,Qualified,L
Austria,UEFA,Qualified,J
Norway,UEFA,Qualified,I
Scotland,UEFA,Qualified,C
Japan,AFC,Qualified,F
Australia,AFC,Qualified,D
Iran,AFC,Qualified,G
South Korea,AFC,Qualified,A
Saudi Arabia,AFC,Qualified,H
Qatar,AFC,Qualified,B
Jordan,AFC,Qualified,J
Uzbekistan,AFC,Qualified,K
Morocco,CAF,Qualified,C
Senegal,CAF,Qualified,I
Egypt,CAF,Qualified,G
Algeria,CAF,Qualified,J
Tunisia,CAF,Qualified,F
Côte d'Ivoire,CAF,Qualified,E
South Africa,CAF,Qualified,A
Ghana,CAF,Qualified,L
Cabo Verde,CAF,Qualified,H
Panama,CONCACAF,Qualified,L
Curacao,CONCACAF,Qualified,E
Haiti,CONCACAF,Qualified,C
New Zealand,OFC,Qualified,G
Denmark,UEFA,Qualified,A
Bosnia & Herzegovina,UEFA,Qualified,B
Türkiye,UEFA,Qualified,D
Sweden,UEFA,Qualified,F
Iraq,AFC,Qualified,I
DR Congo,CAF,Qualified,K
